name;datetime;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;windspeed;winddir;sealevelpressure;cloudcover;visibility;conditions;description
MOROCCO;04/10/1994;17.7;9.6;14.3;17.7;8.6;14;11.1;82.2;0;0;0;;14.8;294.6;1018.9;63.8;7.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;04/11/1994;17.9;11.1;14.5;17.9;11.1;14.5;12.2;86.6;2;100;4.17;rain;14.8;289.2;1015.1;63.8;7.7;Rain, Partially cloudy;Partly cloudy throughout the day with afternoon rain.
MOROCCO;04/12/1994;24.1;9.1;16;24.1;6.8;15.8;9.1;68.5;0;0;0;;33.5;27.9;1011.4;27.8;8.7;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;4/13/1994;20.6;11.1;15.1;20.6;11.1;15.1;12.2;83.9;0.5;100;4.17;rain;14.8;227.9;1010.7;70;7.7;Rain, Partially cloudy;Partly cloudy throughout the day with rain clearing later.
MOROCCO;4/14/1994;18.3;10.7;14.5;18.3;10.7;14.5;11.3;81.6;1;100;4.17;rain;14.8;227.9;1010.5;60;8.2;Rain, Partially cloudy;Partly cloudy throughout the day with morning rain.
MOROCCO;4/15/1994;18.1;12.2;15.6;18.1;12.2;15.6;11.3;76.6;0.1;100;4.17;rain;33.5;243.4;1011.6;76.7;9.2;Rain, Partially cloudy;Partly cloudy throughout the day with rain clearing later.
MOROCCO;4/16/1994;17.7;12.1;14.7;17.7;12.1;14.7;9.1;70.2;0;0;0;;22.3;249.3;1014.8;50;9.2;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;4/17/1994;16.7;4.9;11;16.7;4.9;10.8;3.1;61.7;0;0;0;;18.4;340.9;1012;40;10;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;4/18/1994;17.1;7.1;12.9;17.1;4.9;12.6;6.7;66.4;0;0;0;;22.3;253.1;1010.7;72;10.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;4/19/1994;17.6;10.6;13.7;17.6;10.6;13.7;8.8;74.3;1.3;100;8.33;rain;22.3;231.7;1009;53;8.9;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.
MOROCCO;4/20/1994;16.7;11.1;13.6;16.7;11.1;13.6;10.4;81.4;0;0;0;;25.9;226.9;1009.3;72.7;8;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;4/21/1994;18.1;11.1;14.3;18.1;11.1;14.3;10.3;77.5;0;0;0;;18.4;238.6;1014.7;67.5;9.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;4/22/1994;21.1;10.1;15.3;21.1;10.1;15.3;10.3;75.3;0;0;0;;22.3;235.3;1014.3;42.2;9.3;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;4/23/1994;20.4;14.1;16.8;20.4;14.1;16.8;13.1;79.9;0;0;0;;35.3;227.3;1014.7;60.8;8.1;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;4/24/1994;17.6;11.1;13.9;17.6;11.1;13.9;11.2;84.6;3;100;4.17;rain;18.4;294.1;1019.9;56.3;9;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.
MOROCCO;4/25/1994;18.3;7.7;14.6;18.3;7.7;14.4;9;70.9;0;0;0;;29.5;343.6;1024.2;28.9;10.1;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;4/26/1994;21.1;8.6;14.3;21.1;8;14.1;9.5;75.1;0;0;0;;22.3;338.9;1021.9;33.8;9.8;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;4/27/1994;23.1;11.1;18.3;23.1;11.1;18.3;12.5;70.6;0;0;0;;14.8;280.9;1019.3;81;8;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;4/28/1994;30.1;12.1;22.4;28.4;12.1;22.2;9.6;50;0;0;0;;22.3;78.4;1018.5;8.8;9.1;Clear;Clear conditions throughout the day.
MOROCCO;4/29/1994;33.1;17.1;22.8;30.7;17.1;22.3;4.1;31.7;0;0;0;;25.9;86.1;1017.3;0;9.1;Clear;Clear conditions throughout the day.
MOROCCO;4/30/1994;35.2;17.4;25.1;32.5;17.4;24.3;3.9;27.9;0;0;0;;31.3;82.8;1016;0;9.8;Clear;Clear conditions throughout the day.
MOROCCO;05/01/1994;31.4;14.6;24.8;29.3;14.6;24;4.8;29.8;0;0;0;;14.8;7.4;1015.6;28.9;10.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;05/02/1994;35.1;15.1;24.5;32.9;15.1;23.5;7.7;40.4;0;0;0;;14.8;352;1015.1;70;10;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;05/03/1994;21.4;18.1;19.3;21.4;18.1;19.3;17;87;0;0;0;;22.3;293.2;1015.5;70.8;7.5;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;05/04/1994;21.2;16.7;18.5;21.2;16.7;18.5;16.5;88.7;2;100;4.17;rain;18.4;319.4;1017.8;90;6.1;Rain, Partially cloudy;Partly cloudy throughout the day with rain.
MOROCCO;05/05/1994;22;14.2;18.7;22;14.2;18.7;16.3;86.4;1;100;4.17;rain;18.4;274.9;1018.1;44.7;7.4;Rain, Partially cloudy;Partly cloudy throughout the day with early morning rain.
MOROCCO;05/06/1994;23.1;15.1;18.7;23.1;15.1;18.7;16.6;88.3;0;0;0;;22.3;259.4;1014.2;75;6;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;05/07/1994;21.1;16.7;18.1;21.1;16.7;18.1;16.3;89.6;0;0;0;;22.3;273.8;1015.9;88;5.9;Partially cloudy;Partly cloudy throughout the day.
MOROCCO;05/08/1994;19.6;12.1;16.8;19.6;12.1;16.8;13.5;81.3;0.5;100;4.17;rain;18.4;335.2;1020.2;58.7;8.5;Rain, Partially cloudy;Clearing in the afternoon with morning rain.
MOROCCO;05/09/1994;20.6;10.2;16;20.6;10.2;16;12.8;81.9;0;0;0;;18.4;338.7;1021.3;54;9.9;Partially cloudy;Partly cloudy throughout the day.
